name,english_name,operator,power,source,method,wikidata_id,latitude,longitude,municipality,county,country
Lestijärven tuulivoimapuisto,,OX2,455 MW,wind,wind_turbine,Q123300677,,,,,
Pjelaxin tuulivoimapuisto,Pjelax Wind Farm,Fortum; Helen,380 MW,wind,wind_turbine,Q123484622,62.3824,21.48161,Närpes,Ostrobothnia,Finland
Lappfjärdin tuulivoimapuisto,Lappfjärd Wind Farm,Wind Farm Lappfjärd,242 MW,wind,wind_turbine,Q123469345,62.18938,21.5553,Kristinestad,Ostrobothnia,Finland
Imatran vesivoimalaitos,Imatra hydro-electric power plant,Fortum,192 MW,hydro,run-of-the-river,Q11864761,61.1668975,28.7744701,Imatra,South Karelia,Finland
Petäjäskosken voimalaitos,,Kemijoki Oy,182 MW,hydro,,Q11887859,66.2721,25.3361,Lappland,Regional State Administrative Agency for Lapland,Finland
Pirttikosken tunnelivoimalaitos,,Kemijoki Oy,152 MW,hydro,run-of-the-river,Q11888266,66.3403,27.1522,Rovaniemi,Lappland,Finland
Leipiön tuulivoimapuisto III,,St1 Nordic,151 MW,wind,,Q126042719,,,,,
Pyhäkosken vesivoimalaitos,,Fortum,147 MW,hydro,run-of-the-river,Q11889254,64.8464,26.039830555,Muhos,North Ostrobothnia,Finland
Haapaniemen voimalaitos,,Kuopion Energia,145 MW,biomass,,Q5396398,62.879166666,27.675555555,Kuopio,North Savo,Finland
Seitakorvan vesivoimalaitos,,Kemijoki Oy,144 MW,hydro,run-of-the-river,Q5394629,66.4053,27.3296,Kemijärvi,Lappland,Finland
Louhukankaan tuulivoimapuisto,,Ilmatar Alajärvi–Louhukangas,143 MW,wind,wind_turbine,Q124418955,62.99697,24.13486,Alajärvi,South Ostrobothnia,Finland
Taivalkosken vesivoimalaitos,,Kemijoki Oy,133 MW,hydro,run-of-the-river,Q11896084,65.9307,24.7141,Keminmaa,Lappland,Finland
Isohaaran vesivoimalaitos,,Pohjolan Voima,128 MW,hydro,run-of-the-river,Q18659395,65.7928,24.5456,Keminmaa,Lapland,Finland
Isonevan tuulivoimapuisto,,,126 MW,wind,,,,,,,
Kaukaan Voima (KauVo),Kaukaan Voima (KauVo) Kaukas Mill Bioenergy Power Plant,,125 MW,biomass,,,,,,,
Ossauskosken voimalaitos,,Kemijoki Oy,124 MW,hydro,,Q11994324,66.155833,25.125556,Tervola,Lappland,Finland
Paskoonharjun tuulivoimapuisto,,EPV Tuulivoima Oy,124 MW,wind,,,,,,,
