name,english_name,operator,power,source,method,wikidata_id,latitude,longitude,municipality,county,country
Kvilldal kraftverk,,Statkraft,"1,240 MW",hydro,water-storage,Q4574437,59.52878,6.6542,Suldal Municipality,Rogaland,Norway
Sima kraftverk,,Statkraft,"1,120 MW",hydro,water-storage,Q493400,60.49944444,7.14194444,Eidfjord Municipality,Vestland,Norway
Tonstad kraftverk,,Sira-Kvina kraftselskap,960 MW,hydro,water-storage,Q7821687,58.6592,6.71694,Sirdal,Agder,Norway
Aurland I kraftverk,,Hafslund Kraft,840 MW,hydro,water-storage,Q4581595,60.855,7.30472,Aurland Municipality,Vestland,Norway
Saurdal pumpekraftverk,,Statkraft,640 MW,hydro,water-pumped-storage,Q4576004,,,,,
Svartisen kraftverk,,Statkraft,600 MW,hydro,water-storage,Q4574377,66.7283,13.9136,Meløy,Nordland,Norway
Rana kraftverk,,Statkraft,500 MW,hydro,water-storage,Q4572626,66.3028,14.2603,Rana Municipality,Nordland,Norway
Tokke kraftverk,,Statkraft,430 MW,hydro,water-storage,Q4573152,59.4444,8.03833,Tokke Municipality,Telemark,Norway
Øyfjellet vindkraftverk,,,400 MW,wind,,,,,,,
Tyin kraftverk,,Hydro Energi,374 MW,hydro,water-storage,Q7859868,61.3103,7.83139,Årdal Municipality,Vestland,Norway
Lysebotn 2 kraftverk,,Hydro Energi,370 MW,hydro,water-storage,Q56407467,59.06482,6.63662,Sandnes Municipality,Rogaland,Norway
Nedre Røssåga kraftverk,,Statkraft,350 MW,hydro,water-storage,Q11110145,66.05441,13.79413,Hemnes Municipality,Nordland,Norway
Vamma kraftverk,,Hafslund Kraft,344 MW,hydro,run-of-the-river,Q4581639,59.5414,11.17,Skiptvet Municipality,Viken,Norway
Brokke kraftverk,,Statkraft,330 MW,hydro,water-storage,Q4973561,59.128,7.514,Valle Municipality,Agder,Norway
Evanger kraftverk,,Eviny Fornybar,330 MW,hydro,water-storage,Q4580843,60.6561,6.11167,Voss,Vestland,Norway
Holen kraftverk,,Å Energi Vannkraft,328 MW,hydro,water-storage,Q19374545,59.346666666,7.248333333,Bykle Municipality,Agder,Norway
Suldal I&II kraftverk,,Norsk Hydro Rjukan,323 MW,hydro,water-storage,Q98417254,59.652365,6.821658,Suldal Municipality,Rogaland,Norway
Nedre Vinstra kraftverk,,Hafslund Kraft,308 MW,hydro,water-storage,Q11991065,61.57605,9.79775,Nord-Fron,Innlandet,Norway
Kobbelv kraftverk,,Statkraft,300 MW,hydro,water-storage,Q11111510,67.62319,15.99023,Sørfold Municipality,Nordland,Norway
Skjomen kraftverk,,Statkraft,300 MW,hydro,water-storage,Q11110554,68.20376,17.36071,Narvik,Narvik Municipality,Norway
Vinje kraftverk,,Statkraft,300 MW,hydro,water-storage,Q7932596,59.6167,7.85667,Vinje,Telemark,Norway
Bjerkreim vindpark,,Norsk Vind Energi,294 MW,wind,,,,,,,
Aura kraftverk,,Statkraft,290 MW,hydro,water-storage,Q1842085,62.6647,8.52111,Sunndal Municipality,Møre og Romsdal,Norway
Jostedal kraftverk,,Statkraft,288 MW,hydro,water-storage,Q11979369,61.52661,7.28806,Luster Municipality,Vestland,Norway
Storheia vindpark,,Fosen Vind,288 MW,wind,,Q97211037,63.879166666,10.159166666,Ørland Municipality,Trøndelag,Norway
Raudfjell/Kvitfjell vindpark,,Raudfjell Vind;Tromsø Vind,281 MW,wind,,Q98076499,69.59,18.18,Tromsø Municipality,Troms,Norway
Sønnå kraftverk,,Aktieselskabet Saudefaldene,272 MW,hydro,water-storage,Q19391642,59.639722222,6.378888888,Sauda Municipality,Rogaland,Norway
Aurland III pumpekraftverk,,Hafslund Kraft,270 MW,hydro,water-pumped-storage,Q17749553,60.80095,7.56658,Aurland Municipality,Vestland,Norway
Skagen kraftverk,,Norsk Hydro,270 MW,hydro,water-storage,Q5472774,61.505,7.7025,Luster Municipality,Vestland,Norway
Roan vindpark,,Aneo Vind,256 MW,wind,,Q25430918,64.141,10.327,Åfjord Municipality,Trøndelag,Norway
Mauranger kraftverk,,Statkraft,250 MW,hydro,water-storage,Q2617864,60.13257,6.33122,Kvinnherad Municipality,Vestland,Norway
Nes kraftverk,,Hafslund Kraft,250 MW,hydro,water-storage,Q6997075,60.6044,9.06972,Nesbyen,Buskerud,Norway
Blåfalli Vik kraftverk,,Sunnhordland Kraftlag,230 MW,hydro,water-storage,Q17750630,59.8438,5.98515,Kvinnherad Municipality,Vestland,Norway
Kykkelsrud Fossumfoss kraftverk,,Hafslund Kraft,230 MW,hydro,,Q11982739,59.57996,11.10157,Indre Østfold Municipality,Viken,Norway
Hol I kraftverk,,Hafslund Kraft,220 MW,hydro,water-storage,Q11975613,60.62665,8.18196,Hol Municipality,Buskerud,Norway
Tysso II kraftverk,,Statkraft,220 MW,hydro,water-storage,Q12008072,60.12925,6.64124,Ullensvang Municipality,Vestland,Norway
Nea & Tya kraftverk,,Statkraft,219 MW,hydro,water-storage,Q6983932,63.0317,11.6803,Tydal Municipality,Trøndelag,Norway
Oksla kraftverk,,Statkraft,215 MW,hydro,water-storage,Q19384377,60.1201,6.55664,Ullensvang Municipality,Vestland,Norway
Nore I kraftstasjon,,Statkraft,214 MW,hydro,water-storage,Q7050917,60.2675,8.95778,Nore og Uvdal Municipality,Buskerud,Norway
Borgund kraftverk,,Østfold Energi,212 MW,hydro,water-storage,Q11961972,61.05868,7.8192,Lærdal Municipality,Vestland,Norway
Solbergfoss kraftverk,,Hafslund Kraft,208 MW,hydro,,Q14437876,59.63712,11.15553,Indre Østfold Municipality,Viken,Norway
Tonstad vindpark,,,208 MW,wind,,Q97200775,58.5316,6.7928,Sirdal,Agder,Norway
Usta kraftverk,,Hafslund Kraft,208 MW,hydro,water-storage,Q12008611,60.57432,8.40963,Ål,Buskerud,Norway
Skjerka kraftverk,,Å Energi Vannkraft,207 MW,hydro,water-storage,Q19388924,58.55396,7.37625,Åseral Municipality,Agder,Norway
Vemork kraftverk,,Norsk Hydro,204 MW,hydro,water-storage,Q2296772,59.871667,8.494444,Tinn,Telemark,Norway
Duge pumpekraftverk,,Sira-Kvina kraftselskap,200 MW,hydro,water-pumped-storage,Q17768168,59.11916,6.89335,Sandnes Municipality,Rogaland,Norway
Solhom kraftverk,,Sira-Kvina kraftselskap,200 MW,hydro,water-storage,Q12001832,58.76835,7.02017,Kvinesdal Municipality,Agder,Norway
Guleslettene vindpark,,Zephyr,197 MW,wind,,,,,,,
Såheim kraftverk,,Hydro Energi,185 MW,hydro,,Q7665805,59.8769,8.59278,Tinn,Telemark,Norway
Geitfjellet vindpark,,Fosen Vind,180 MW,wind,,Q110122400,63.360833333,9.495,Orkland Municipality,Trøndelag,Norway
Matre Haugsdal kraftverk,,Eviny Fornybar,180 MW,hydro,water-storage,Q65233613,60.872777777,5.593055555,Masfjorden Municipality,Vestland,Norway
Mår kraftverk,,Statkraft,180 MW,hydro,water-storage,Q3675972,59.88452778,8.67652778,Tinn,Telemark,Norway
Siso kraftverk,,Siso Energi,180 MW,hydro,water-storage,Q11111653,67.32504,15.70731,Sørfold Municipality,Nordland,Norway
Tunnsjødal kraftverk,,NTE Energi,176 MW,hydro,water-storage,Q7853351,64.7033,12.8356,Namsskogan Municipality,Trøndelag,Norway
Øvre Røssåga kraftverk,,Statkraft,175 MW,hydro,water-storage,Q11117997,65.88685,13.81106,Hemnes Municipality,Nordland,Norway
Øvre Vinstra kraftverk,,Hafslund Kraft,172 MW,hydro,water-storage,Q12012018,61.48251,9.31276,Nord-Fron,Innlandet,Norway
