name,english_name,operator,power,source,method,wikidata_id,latitude,longitude,municipality,county,country
Harsprångets kraftverk,,Vattenfall,977 MW,hydro,,Q3127967,66.885833333,19.815833333,Jokkmokk Municipality,Norrbotten County,Sweden
Stornorrfors,,Vattenfall,599 MW,hydro,water-storage,Q3499873,63.8525,20.051667,Umeå Municipality,Västerbotten County,Sweden
Letsi kraftverk,,Vattenfall,486 MW,hydro,,Q10559896,,,,,
Porjus Kraftstation,,Vattenfall AB,481 MW,hydro,water-storage,Q2944573,66.96194444,19.80416667,Jokkmokk Municipality,Norrbotten County,Sweden
Markbygden vindkraftpark,Markbygden Wind Farm,,456 MW,wind,,Q12859023,65.41666667,20.66666667,Piteå Municipality,Norrbotten County,Sweden
Messaure kraftverk,,Vattenfall,446 MW,hydro,,Q2638665,66.68333333,20.33333333,Jokkmokk Municipality,Norrbotten County,Sweden
Ligga kraftverk,,Vattenfall,327 MW,hydro,,Q10561514,,,,,
Vietas Kraftstation,,Vattenfall,306 MW,hydro,water-storage,Q19979079,,,,,
Ritsem Kraftstation,,Vattenfall,304 MW,hydro,water-storage,,,,,,
Trängslet,,Fortum Generation AB,300 MW,hydro,water-storage,Q3375596,,,,,
Björkhöjden vindpark,,Statkraft,288 MW,wind,,,,,,,
Porsi Kraftstation,,Vattenfall,282 MW,hydro,,Q2012979,,,,,
Stor-Skälsjön vindkraftspark,,,260 MW,wind,,,,,,,
Åmot-Lingbo vindpark,,OX2,249 MW,wind,wind_turbine,,,,,,
Blaiken vindkraftpark,Blaiken wind farm,BlaikenVind Aktiebolag,248 MW,wind,wind_turbine,Q4923904,65.2846,17.1716,,,Sweden
Skaftåsen vindkraftpark,,,231 MW,wind,wind_turbine,,,,,,
Seitevare Kraftstation,,Vattenfall,225 MW,hydro,water-storage,Q2188732,66.97611111,18.57805556,Jokkmokk Municipality,Norrbotten County,Sweden
Harrsele Kraftverk,,Statkraft,223 MW,hydro,water-storage,Q56374523,,,,,
Olidans kraftverk,,Vattenfall AB,220 MW,hydro,,Q450818,58.27416667,12.27222222,Trollhättan Municipality,Västra Götaland County,Sweden
Lilla Edets kraftverk,,,210 MW,hydro,,,,,,,
Laxede kraftverk,,Vattenfall,207 MW,hydro,water-storage,Q1921812,66.22083,20.86083,Boden Municipality,Norrbotten County,Sweden
Jädraås vindpark,,,198 MW,wind,wind_turbine,,,,,,
Hjälta kraftverk,,Eon Sverige AB,178 MW,hydro,water-storage,Q11975546,63.1837,17.0968,Sollefteå Municipality,Västernorrland County,Sweden
Bergeforsens Krafverk,,,174 MW,hydro,,,,,,,
Hojums kraftverk,,Vattenfall AB,170 MW,hydro,,Q3565673,58.28,12.27833333,Trollhättan Municipality,Västra Götaland County,Sweden
Vargöns kraftverk,,Vattenfall,165 MW,hydro,run-of-the-river,Q57313384,,,,,
Midskog kraftverk,,Vattenfall,155 MW,hydro,,,,,,,
Akkats Kraftstation,,Vattenfall,150 MW,hydro,,Q10404022,66.63138889,19.81972222,Jokkmokk Municipality,Norrbotten County,Sweden
Lasele,,Vattenfall,150 MW,hydro,,,,,,,
Höljes kraftverk,Höljes Hydroelectric Power Station,Fortum,130 MW,hydro,run-of-the-river,Q11976478,60.9508,12.5472,,,Sweden
Älvkarleby kraftverket,,,125 MW,hydro,water-storage,Q8077057,60.5637,17.4421,Älvkarleby Municipality,Uppsala County,Sweden
Sörby Vindkraftspark,,,122 MW,wind,wind_turbine,,,,,,
